# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
9.156548e+00 1.514975e+34 7.030354e-01 3.086766e+14
9.183878e+00 1.500594e+34 7.079160e-01 3.074707e+14
9.211208e+00 1.486231e+34 7.128041e-01 3.062591e+14
9.238538e+00 1.471886e+34 7.176997e-01 3.050420e+14
9.265868e+00 1.457559e+34 7.226022e-01 3.038191e+14
9.293198e+00 1.443250e+34 7.275117e-01 3.025904e+14
9.320528e+00 1.428961e+34 7.324276e-01 3.013560e+14
9.347858e+00 1.414692e+34 7.373499e-01 3.001157e+14
9.375188e+00 1.400443e+34 7.422783e-01 2.988696e+14
9.402518e+00 1.386215e+34 7.472124e-01 2.976175e+14
9.429847e+00 1.372008e+34 7.521520e-01 2.963593e+14
9.457177e+00 1.357822e+34 7.570969e-01 2.950952e+14
9.484507e+00 1.343659e+34 7.620467e-01 2.938249e+14
9.511837e+00 1.329517e+34 7.670012e-01 2.925485e+14
9.539167e+00 1.315399e+34 7.719601e-01 2.912658e+14
9.566497e+00 1.301305e+34 7.769231e-01 2.899768e+14
9.593827e+00 1.287234e+34 7.818899e-01 2.886815e+14
9.621157e+00 1.273187e+34 7.868603e-01 2.873798e+14
9.648487e+00 1.259165e+34 7.918338e-01 2.860717e+14
9.675817e+00 1.245169e+34 7.968103e-01 2.847570e+14
9.703147e+00 1.231198e+34 8.017894e-01 2.834356e+14
9.730477e+00 1.217253e+34 8.067708e-01 2.821076e+14
9.757807e+00 1.203335e+34 8.117542e-01 2.807729e+14
9.785137e+00 1.189445e+34 8.167393e-01 2.794313e+14
9.812467e+00 1.175581e+34 8.217257e-01 2.780829e+14
9.839797e+00 1.161746e+34 8.267132e-01 2.767274e+14
9.867127e+00 1.147939e+34 8.317013e-01 2.753650e+14
9.894457e+00 1.134161e+34 8.366898e-01 2.739953e+14
9.921787e+00 1.120413e+34 8.416784e-01 2.726185e+14
9.949117e+00 1.106694e+34 8.466666e-01 2.712344e+14
9.976447e+00 1.093006e+34 8.516541e-01 2.698429e+14
1.000378e+01 1.079375e+34 8.566407e-01 2.684465e+14
1.003111e+01 1.065817e+34 8.616259e-01 2.670471e+14
1.005844e+01 1.052333e+34 8.666097e-01 2.656444e+14
1.008577e+01 1.038925e+34 8.715916e-01 2.642387e+14
1.011310e+01 1.025591e+34 8.765714e-01 2.628299e+14
1.014043e+01 1.012333e+34 8.815489e-01 2.614179e+14
1.016776e+01 9.991505e+33 8.865237e-01 2.600029e+14
1.019509e+01 9.860447e+33 8.914956e-01 2.585847e+14
1.022242e+01 9.730158e+33 8.964643e-01 2.571634e+14
1.024975e+01 9.600640e+33 9.014296e-01 2.557391e+14
1.027708e+01 9.471899e+33 9.063911e-01 2.543117e+14
1.030441e+01 9.343939e+33 9.113485e-01 2.528812e+14
1.033174e+01 9.216763e+33 9.163017e-01 2.514476e+14
1.035907e+01 9.090375e+33 9.212503e-01 2.500109e+14
1.038640e+01 8.964779e+33 9.261939e-01 2.485712e+14
1.041373e+01 8.839979e+33 9.311324e-01 2.471284e+14
1.044106e+01 8.715979e+33 9.360655e-01 2.456826e+14
1.046839e+01 8.592782e+33 9.409927e-01 2.442337e+14
1.049572e+01 8.470392e+33 9.459140e-01 2.427818e+14
1.052305e+01 8.348812e+33 9.508288e-01 2.413268e+14
1.055038e+01 8.228046e+33 9.557371e-01 2.398687e+14
1.057771e+01 8.108097e+33 9.606384e-01 2.384077e+14
1.060504e+01 7.988969e+33 9.655324e-01 2.369436e+14
1.063237e+01 7.870665e+33 9.704190e-01 2.354764e+14
1.065970e+01 7.753188e+33 9.752976e-01 2.340063e+14
1.068703e+01 7.636541e+33 9.801682e-01 2.325331e+14
1.071436e+01 7.520727e+33 9.850302e-01 2.310568e+14
1.074169e+01 7.405750e+33 9.898835e-01 2.295776e+14
1.076902e+01 7.291612e+33 9.947278e-01 2.280953e+14
1.079635e+01 7.178317e+33 9.995626e-01 2.266100e+14
1.082368e+01 7.065867e+33 1.004388e+00 2.251217e+14
1.085101e+01 6.954264e+33 1.009203e+00 2.236304e+14
1.087834e+01 6.843513e+33 1.014008e+00 2.221360e+14
1.090567e+01 6.733614e+33 1.018802e+00 2.206386e+14
1.093300e+01 6.624572e+33 1.023585e+00 2.191382e+14
1.096033e+01 6.516388e+33 1.028357e+00 2.176348e+14
1.098766e+01 6.409065e+33 1.033118e+00 2.161283e+14
1.101499e+01 6.302605e+33 1.037866e+00 2.146189e+14
1.104232e+01 6.197011e+33 1.042602e+00 2.131064e+14
1.106965e+01 6.092285e+33 1.047326e+00 2.115909e+14
1.109698e+01 5.988430e+33 1.052037e+00 2.100723e+14
