# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
1.037209e+01 8.619434e+33 9.781964e-01 2.445482e+14
1.039888e+01 8.490455e+33 9.829393e-01 2.430206e+14
1.042568e+01 8.362422e+33 9.876742e-01 2.414903e+14
1.045248e+01 8.235339e+33 9.924009e-01 2.399572e+14
1.047928e+01 8.109207e+33 9.971191e-01 2.384213e+14
1.050608e+01 7.984030e+33 1.001829e+00 2.368826e+14
1.053288e+01 7.859808e+33 1.006529e+00 2.353411e+14
1.055968e+01 7.736544e+33 1.011220e+00 2.337969e+14
1.058647e+01 7.614241e+33 1.015901e+00 2.322499e+14
1.061327e+01 7.492901e+33 1.020572e+00 2.307001e+14
1.064007e+01 7.372524e+33 1.025233e+00 2.291475e+14
1.066687e+01 7.253114e+33 1.029883e+00 2.275922e+14
1.069367e+01 7.134673e+33 1.034522e+00 2.260341e+14
1.072047e+01 7.017201e+33 1.039151e+00 2.244731e+14
1.074727e+01 6.900701e+33 1.043767e+00 2.229094e+14
1.077407e+01 6.785175e+33 1.048372e+00 2.213430e+14
1.080086e+01 6.670623e+33 1.052965e+00 2.197737e+14
1.082766e+01 6.557048e+33 1.057545e+00 2.182016e+14
1.085446e+01 6.444452e+33 1.062112e+00 2.166267e+14
1.088126e+01 6.332835e+33 1.066667e+00 2.150491e+14
1.090806e+01 6.222199e+33 1.071208e+00 2.134686e+14
1.093486e+01 6.112545e+33 1.075735e+00 2.118853e+14
1.096166e+01 6.003875e+33 1.080248e+00 2.102992e+14
1.098845e+01 5.896189e+33 1.084747e+00 2.087102e+14
1.101525e+01 5.789489e+33 1.089231e+00 2.071185e+14
1.104205e+01 5.683777e+33 1.093700e+00 2.055239e+14
1.106885e+01 5.579052e+33 1.098154e+00 2.039264e+14
1.109565e+01 5.475316e+33 1.102592e+00 2.023261e+14
1.112245e+01 5.372570e+33 1.107014e+00 2.007230e+14
